id,phone_number,address
08835222X2,0883523854,"88 AIRPORT RD NR MARSHALL TCE, BROOKLYN PARK"
07326614X2,0732666619,"31 ACACIA AVE CNR STATION AVE, NORTHGATE"
03979146X2,0397917437,"1 ACER ST NR POWER RD, DOVETON"
03933599X2,0393354345,"FLR 1 5 AIRPORT DRV STH TERM GATE 6, MELBOURNE AIRPORT"
03932928X2,0393299706,"197 ADDERLEY ST NR HAWKE ST, WEST MELBOURNE"
02931392X2,0293136631,"9 ADDISON ST NR ANZAC PDE, KENSINGTON"
02429710X2,0242972389,"74 ADDISON AVE OS SHOPS, LAKE ILLAWARRA"
02956907X2,0295691339,"163 ADDISON ST NR EAST ST, MARRICKVILLE"
02955030X2,0295503605,"13 ADDISON RD NR ENMORE RD, MARRICKVILLE"
08844733X2,0884475898,"41 ADDISON RD NEAR, PENNINGTON"
02956009X2,0295602882,"279 ADDISON RD NEAR AUDLEY ST, PETERSHAM"
02429601X2,0242964521,"18 ADDISON ST OS POST OFFICE, SHELLHARBOUR"
02636820X2,0263682001,"64 ADELAIDE ST NR BURNS ST, BLAYNEY"
02636822X2,0263682304,"130 ADELAIDE ST NR OGILVY ST, BLAYNEY"
07465632X2,0746563218,"0 ADELAIDE ST NR FREW ST, BIRDSVILLE"
02432324X2,0243236465,"30 ADELAIDE ST , EAST GOSFORD"
08922115X2,0892212547,"195 ADELAIDE TCE NR BURT WAY, EAST PERTH"
03502480X2,0350248400,"30 ADELAIDE ST OS POST OFFICE, GOL GOL"
08853114X2,0885310272,"311 ADELAIDE RD NR RONALD ST, MURRAY BRIDGE"
08853116X2,0885310431,"151 ADELAIDE RD NR PLYMOUTH ST, MURRAY BRIDGE"
07412301X2,0741232843,"230 ADELAIDE ST NR KENT ST, MARYBOROUGH"
02985807X2,0298582471,"2 ADELAIDE ST CNR VICTORIA RD, WEST RYDE"
02954515X2,0295453163,"1 ADELONG ST CNR EAST PDE, SUTHERLAND"
07559106X2,0755916235,"7 ADMIRALTY DRV NR NELSON APPART, SURFERS PARADISE"
07329400X2,0732946441,"50 A SUMMERVILLES RD OPP STATE SCHOOL, KARALEE"
03567438X2,0356743133,"5 A'BECKETT ST NR REILLY ST, INVERLOCH"
07544365X2,0754437994,"110 AERODROME RD NR SECOND AVE, MAROOCHYDORE"
07542310X2,0754231104,"26 ABBOTSFORD ST NR FULHAM ST, TOOGOOLAWAH"
07326808X2,0732686315,"84 ABBOTT ST CNR LANCASTER RD, ASCOT"
07405162X2,0740516673,"83 ABBOTT ST O/S WOOLWORTHS, CAIRNS CTY"
08826106X2,0882612032,"2 ABBOTT ST NR FOURTH AVE, KLEMZIG"
07477822X2,0747782255,"74 ABBOTT ST NR OONOONBA HOTEL, OONOONBA"
02969952X2,0296993509,"332 ABERCROMBE ST NR RAGLAN ST, DARLINGTON"
02499014X2,0249903164,"69 ABERDARE RD , ABERDARE"
02499001X2,0249902732,"50 ABERDARE ST , KITCHENER"
03945713X2,0394574309,"48 ABERDEEN RD , MACLEOD"
02682218X2,0268221909,"92 ABERFORD ST , COONAMBLE"
02668533X2,0266853200,"143 ALCORN ST , SUFFOLK PARK"
08935411X2,0893542868,"73 APSLEY RD NR WOODPECKER AVE, WILLETTON"
08933612X1,0893363135,"SECURI TY 2 ALMA ST FREMANTLE HOSP W42, FREMANTLE"
08933613X1,0893363140,"SECURI TY 2 ALMA ST FREMANTLE HOSP W51, FREMANTLE"
08943010X1,0894306050,"CANTEN  2 ALMA ST FREMANTLE HOSP B5, FREMANTLE"
08943015X1,0894306967,"B3  2 ALMA ST FREMANTLE ADMISSIO, FREMANTLE"
08922713X2,0892275365,"100 ALMA ST OS NTH PERTH PLAZA, NORTH PERTH"
08922709X2,0892270202,"100 ALMA ST OS NTH PERTH PLAZA, NORTH PERTH"
03859806X2,0385989126,"55 ALMA RD , ST KILDA"
03859803X2,0385989263,"31 ALMA RD CHARNWOOD CRES, ST KILDA"
03952711X2,0395272896,"128 ALMA RD CNR WESTBURY ST, ST KILDA EAST"
07412327X2,0741234201,"251 ANN ST NR RICHMOND ST, MARYBOROUGH"
02967900X2,0296791810,"169 ANNANGROVE RD NR DEBORAH RD, ANNANGROVE"
02965303X2,0296532842,"142 ARCADIA RD , ARCADIA"
08936191X2,0893617921,"20 ARCHER ST NR STAR, CARLISLE"
08936193X2,0893618110,"45 ARCHER ST NR BISHOPSGATE, CARLISLE"
03575931X2,0357593563,"0 ALPINE HWY IN TOURIST SHELTER, HOTHAM HEIGHTS"
07477924X2,0747798873,"53 ANNE ST , AITKENVALE"
07339121X2,0733915564,"2 ANNERLEY RD CNR STANLEY ST, WOOLLOONGABBA"
07549611X2,0754961104,"47 ARCHER ST NR WEBB LA, WOODFORD"
07549613X2,0754961109,"109 ARCHER ST NR ELIZABETH ST, WOODFORD"
03639184X2,0363918203,"201 AIRPORT RD LTON AIRPRT QANTAS, WESTERN JUNCTION"
03639182X2,0363918201,"201 AIRPORT RD LTON AIRPRT QANTAS, WESTERN JUNCTION"
02447171X2,0244717009,"10 ANSLIE PDE ADJ SUNPATCH PDE, TOMAKIN"
03542712X2,0354271904,"35 ANSLOW ST , WOODEND"
03937076X2,0393703491,"12 ALEXANDER AVE CNR PASCOE VALE RD, MOONEE PONDS"
03946509X2,0394658179,"134 ALEXANDER AVE , THOMASTOWN"
08938719X2,0893871644,"5 ALEXANDER ST NR CAMBRIDGE ST, WEMBLEY"
07552403X2,0755243000,"20 ALTAIR ST , TWEED HEADS SOUTH"
03542830X2,0354283101,"21 AITKEN ST NR HAMILTON ST, GISBORNE"
08953508X2,0895351977,"43 ANSTRUTHER RD NR WARD ST, MANDURAH"
03643133X2,0364314300,"19 ALEXANDRA ST NEAR WILMOT STREET, BURNIE"
08825817X2,0882584721,"22 AMANDA ST NEAR, SALISBURY"
02943833X2,0294383010,"74 ALBANY ST , CROWS NEST"
08947033X2,0894701947,"780 ALBANY HWY NR SUSSEX ST, EAST VICTORIA PARK"
08829415X2,0882942432,"451 ANZAC HWY NR MORPHETT RD, CAMDEN PARK"
02998201X2,0299824143,"20 ANZAC AVE NR PITTWATER RD, COLLAROY"
02975435X2,0297541093,"28 ANZAC AVE CNR DALE ST, FAIRFIELD"
02981629X2,0298165188,"32 ALEXANDRA ST CNR ERNEST ST, HUNTERS HILL"
07544344X2,0754438796,"7 ALEXANDRA PDE NR MEMORIAL AVE, MAROOCHYDORE"
08934205X2,0893421277,"60 AMBERTON AVE NR AMBERTON LANE, GIRRAWHEEN"
08984112X2,0898412822,"30 ALBANY ST NR YORK ST, ALBANY"
08829722X2,0882976254,"130 ANZAC HWY CNR, GLANDORE"
08829404X2,0882941432,"746 ANZAC HWY NEAR, GLENELG"
08829413X2,0882942309,"572 ANZAC HWY NEAR, GLENELG EAST"
02684362X2,0268436200,"4 ANZAC PDE , GWABEGAR"
02971813X2,0297183826,"1 AMY ST NEAR BEAMISH ST, CAMPSIE"
08922714X2,0893553854,"789 ALBANY HWY THE PARK CENTRE S*, EAST VICTORIA PARK"
08922710X2,0893553856,"789 ALBANY HWY THE PARK CENTRE S*, EAST VICTORIA PARK"
08949021X2,0894901827,"2244 ALBANY HWY NR DOROTHY OS PO, GOSNELLS"
08949022X2,0894901820,"2244 ALBANY HWY NR DOROTHY OS PO, GOSNELLS"
08983140X2,0898311687,"47 ALBANY HWY NR KATANNING RD, KOJONUP"
07495121X2,0749511047,"166 ALFRED ST NEAR CNR WOOD ST, MACKAY"
02971826X2,0297189207,"1 AMY ST NR BEAMISH ST, CAMPSIE"
03599872X2,0359987720,"19 ANCHORAGE DRV CNR HERON CT, BLIND BIGHT"
08949501X1,0894951446,"2784 ALBANY HWY KELMSCOTT PLAZA, KELMSCOTT"
08945202X2,0894522613,"1697 ALBANY HWY NR CNR ROYAL ST, KENWICK"
08936181X2,0893617232,"590 ALBANY HWY NR STATE ST, VICTORIA PARK"
02931395X2,0293136759,"227 ANZAC PDE OS UNISEARCH HOUSE, KENSINGTON"
03952960X2,0395293355,"83 ALFRED ST NR COMMERCIAL RD, PRAHRAN"
02925109X2,0292517732,"0 ALFRED ST OPP LOFTUS ST, SYDNEY"
02925120X2,0292517633,"0 ALFRED ST NR YOUNG ST, SYDNEY"
03935917X2,0393592445,"91 ANDERSON RD OS FRUIT SHOP, FAWKNER"
07405125X2,0740517584,"61 ANDERSON ST NR ADELAIDE ST, MANUNDA"
07557235X2,0755725455,"29 ALBATROSS AVE NR LAVARACK RD, MERMAID BEACH"
07554115X2,0755411898,"29 ALBERT ST NR ARTHUR ST, BEAUDESERT"
07557021X2,0755702102,"16 ALBERT AVE O/S CBA BANK, BROADBEACH"
07388304X1,0738832053,"272 ANZAC AVE PENINSULA FAIR, KIPPA-RING"
03936424X2,0393642658,"33 ALFRIEDA ST , ST ALBANS"
07549880X2,0754988201,"10 ALICE ST CNR AMY ST, DONNYBROOK"
07403210X2,0740324279,"84 ANDERSON ST NR MACDONNELL ST, MANUNDA"
02979225X2,0297923382,"69 ANDERSON ST NR WESTON ST, PANANIA"
08917319X2,0891731853,"107 ANDERSON ST NR FREWER ST, PORT HEDLAND"
08988520X7,0898851002,"72 ALBANY HWY O/S POST OFFICE, WILLIAMS"
02966121X2,0296618579,"1407 ANZAC PDE O/S LIQUOR STORE, LITTLE BAY"
02969406X2,0296941543,"1605 ANZAC PDE , LA PEROUSE"
07412309X2,0741234026,"534 ALICE ST NR JUPITER ST, MARYBOROUGH"
03582600X2,0358260200,"15 ANDERSON ST , UNDERA"
03968757X2,0393620690,"9 ANDERSON ST NR WILLIS ST, YARRAVILLE"
03968756X2,0396893650,"9 ANDERSON ST NR WILLIS ST, YARRAVILLE"
08828119X2,0882812454,"57 ANDREW SMITH DRV NR COOK ST, PARAFIELD GARDENS"
02939825X2,0293987527,"26 ALISON RD JOHN RD, RANDWICK"
02435110X2,0243554673,"23 ALISON RD OS POST OFFICE, WYONG"
08822307X2,0882234098,"139 ANGAS ST CNR, ADELAIDE"
07472812X2,0747283591,"9 ALBERT ST CNR NATHAN ST, CRANBROOK"
03538205X2,0353825811,"15 ALBERT ST NR EDITH ST, HORSHAM"
08944401X2,0894440165,"174 ANZAC RD NR EGINA ST, MT HAWTHORN"
08829729X2,0882977298,"232 ANZAC HWY NR CHARLES ST, PLYMPTON"
08829731X2,0882977765,"287 ANZAC HWY NR LYDIA ST, PLYMPTON"
02494670X2,0249467076,"14 ALLAMBEE PL , VALENTINE"
02997518X2,0299756473,"130 ALLAMBIE RD OS COMMUNITY CNTR, ALLAMBIE HEIGHTS"
07546215X2,0754621289,"16 ALLAN ST NR OLD COLLEDGE RD, GATTON"
03585215X2,0358521584,"31 ALLAN ST NR LEWRY ST, KYABRAM"
03585216X2,0358521691,"377 ALLAN ST OPP HAWKINS ST, KYABRAM"
03954622X2,0395464593,"1 ALLAN ST CNR JOY PDE, NOBLE PARK"
08822318X2,0882235165,"193 ANGAS ST NR REGENT ST, ADELAIDE"
08936721X2,0893677587,"77 ANGELO ST NR COODE ST, SOUTH PERTH"
03533609X2,0353361952,"200 ALBERT ST NR VICTORIA ST, SEBASTOPOL"
03533604X2,0353361953,"10 ALBERT ST NR RUBICON ST, SEBASTOPOL"
02974620X2,0297463602,"1 ALBERT RD OS RAILWAY STN, STRATHFIELD"
02974600X2,0297461629,"1 ALBERT RD OS RAIL STATION, STRATHFIELD"
02974634X2,0297461877,"1 ALBERT RD OS STATION STH SID, STRATHFIELD"
02974628X2,0297463693,"1 ALBERT RD OS STATION STH SID, STRATHFIELD"
07328441X2,0732846344,"27 ANZAC AVE NR JOHN ST, REDCLIFFE"
07328420X2,0732847966,"107 ANZAC AVE NR TILLEY ST, REDCLIFFE"
03579217X2,0357921473,"111 ANZAC AVE OS POST OFFICE, SEYMOUR"
03579901X2,0357992137,"219 ANZAC AVE OS BARNEYS M/BAR, SEYMOUR"
02499004X2,0249901187,"19 ALLANDALE ST , KEARSLEY"
08984120X2,0898413900,"32 ANGOVE RD SHOPPING CENTRE, SPENCER PARK"
02637903X2,0263794487,"73 ANGUS AVE NR NOYES ST, KANDOS"
08827224X2,0882725121,"20 ALBERT ST OPP ROSE LANE, MITCHAM"
07465480Y2,0746548172,"0 ALBERT ST NR VICTORIA ST, MORVEN"
02686213X2,0268623040,"37 ALBERT ST NR VICTORIA ST, PARKES"
03969920X2,0396995080,"16 ALBERT RD CNR ST KILDA RD, SOUTH MELBOURNE"
07493911X2,0749391981,"32 ANZAC PDE CNR COMO UNITS, YEPPOON"
03549472X2,0354947307,"1 ALLEN ST NR VERNON ST, KORONG VALE"
02655346X2,0265534787,"9 ALLEN ST CNR KILLAARRA ST, WINGHAM"
07382400X2,0738240019,"1 ALLENBY RD FINUCANE RD NEAR, ALEXANDRA HILLS"
02636215X2,0263621765,"1 ALLENBY RD NR BATHURST RD, ORANGE"
02494027X2,0249654132,"29 ALBERT ST , WICKHAM"
07335705X2,0733576765,"51 ALBION RD NR MAWARRA ST, ALBION"
03989903X2,0398990255,"32 ALBION RD , BOX HILL"
03938363X2,0393832429,"132 ALBION ST , BRUNSWICK"
03939001X2,0393901656,"1 APOLLO RD NR SUNSHINE AVE, TAYLORS LAKES"
02463100X2,0246311109,"75 APPIN RD OS SHOPS, APPIN"
07335638X2,0733565396,"38 APPLEBY RD CNR TEEVAN ST, STAFFORD"
02423600X2,0242360200,"32 ALLOWRIE ST OS POST OFFICE, JAMBEROO"
