cabinet_id,phone_number,address,locality,state,postcode,latitude,longitude,fnn,phone_attributes,source
02921117X2,0292116991,815 GEORGE ST,HAYMARKET,NSW,2000,-33.882969,151.203805,,,Tasmania Government LIST Telstra Payphones layer
02921124X2,0292111059,393 SUSSEX ST,HAYMARKET,NSW,2000,-33.877981,151.204663,,,Tasmania Government LIST Telstra Payphones layer
02921125X2,0292111063,432 SUSSEX ST,HAYMARKET,NSW,2000,-33.878846,151.204917,,,Tasmania Government LIST Telstra Payphones layer
02921128X2,0292111087,102 HAY ST,HAYMARKET,NSW,2000,-33.879411,151.204313,,,Tasmania Government LIST Telstra Payphones layer
02921134X2,0292113851,24 CAMPBELL ST,HAYMARKET,NSW,2000,-33.879199,151.206446,,,Tasmania Government LIST Telstra Payphones layer
02921135X2,0292113854,412 PITT ST,HAYMARKET,NSW,2000,-33.878807,151.207288,,,Tasmania Government LIST Telstra Payphones layer
02921136X2,0448053933,75 ULTIMO RD,HAYMARKET,NSW,2000,-33.880313,151.204343,,,Tasmania Government LIST Telstra Payphones layer
02921137X2,0292113861,199 THOMAS ST,HAYMARKET,NSW,2000,-33.880947,151.203774,,,Tasmania Government LIST Telstra Payphones layer
02921161X2,0292113857,412 PITT ST,HAYMARKET,NSW,2000,-33.878807,151.207288,,,Tasmania Government LIST Telstra Payphones layer
02921202X2,0292123274,63 DIXON ST,HAYMARKET,NSW,2000,-33.878917,151.204082,,,Tasmania Government LIST Telstra Payphones layer
02921208X2,0292125004,1 EDDY AVE,HAYMARKET,NSW,2000,-33.882151,151.207098,,,Tasmania Government LIST Telstra Payphones layer
02921220X2,0292123296,62 DIXON ST,HAYMARKET,NSW,2000,-33.878308,151.204028,,,Tasmania Government LIST Telstra Payphones layer
02921236X2,0292125487,419 PITT ST,HAYMARKET,NSW,2000,-33.878612,151.207205,,,Tasmania Government LIST Telstra Payphones layer
02921238X2,0292126435,1 LEE ST,HAYMARKET,NSW,2000,-33.883083,151.204022,,,Tasmania Government LIST Telstra Payphones layer
02921240X2,0292127359,681 GEORGE ST,HAYMARKET,NSW,2000,-33.879884,151.205161,,,Tasmania Government LIST Telstra Payphones layer
02921242X2,0428457992,722 GEORGE ST,HAYMARKET,NSW,2000,-33.878914,151.20564,,,Tasmania Government LIST Telstra Payphones layer
02928004X2,0292803643,187 THOMAS ST,HAYMARKET,NSW,2000,-33.881523,151.203346,,,Tasmania Government LIST Telstra Payphones layer
02928007X2,0292804875,161 HARBOUR ST,HAYMARKET,NSW,2000,-33.879354,151.203504,,,Tasmania Government LIST Telstra Payphones layer
02928023X2,0292803192,223 THOMAS ST,HAYMARKET,NSW,2000,-33.879664,151.204609,,,Tasmania Government LIST Telstra Payphones layer
02928104X7,0292817773,1 EDDY AVE,HAYMARKET,NSW,2000,-33.884176,151.206264,,,Tasmania Government LIST Telstra Payphones layer
02928107X7,0292817776,1 EDDY AVE,HAYMARKET,NSW,2000,-33.884176,151.206264,,,Tasmania Government LIST Telstra Payphones layer
02928108X7,0292817778,1 EDDY AVE,HAYMARKET,NSW,2000,-33.882401,151.205966,,,Tasmania Government LIST Telstra Payphones layer
02928111X7,0292817782,1 EDDY AVE,HAYMARKET,NSW,2000,-33.884152,151.20749,,,Tasmania Government LIST Telstra Payphones layer
02928112X2,0447992908,790 GEORGE ST,HAYMARKET,NSW,2000,-33.881661,151.205848,,,Tasmania Government LIST Telstra Payphones layer
02928124X1,0292810695,1 EDDY AVE,HAYMARKET,NSW,2000,-33.883007,151.206999,,,Tasmania Government LIST Telstra Payphones layer
02928125X2,0292814390,800 GEORGE ST,HAYMARKET,NSW,2000,-33.88151,151.204734,,,Tasmania Government LIST Telstra Payphones layer
02928126X2,0292813494,1 EDDY AVE,HAYMARKET,NSW,2000,-33.882401,151.205966,,,Tasmania Government LIST Telstra Payphones layer
02928143X2,0292810690,1 EDDY AVE,HAYMARKET,NSW,2000,-33.883007,151.206999,,,Tasmania Government LIST Telstra Payphones layer
02928145X7,0292819617,59 GOULBURN ST,HAYMARKET,NSW,2000,-33.877985,151.206593,,,Tasmania Government LIST Telstra Payphones layer
02928146X2,0292810697,1 EDDY AVE,HAYMARKET,NSW,2000,-33.883007,151.206999,,,Tasmania Government LIST Telstra Payphones layer
02928147X2,0292810698,1 EDDY AVE,HAYMARKET,NSW,2000,-33.883007,151.206999,,,Tasmania Government LIST Telstra Payphones layer
02928154X7,0292813569,40 CAMPBELL ST,HAYMARKET,NSW,2000,-33.87947,151.207629,,,Tasmania Government LIST Telstra Payphones layer
02928157X7,0292817451,217 THOMAS ST,HAYMARKET,NSW,2000,-33.880081,151.204337,,,Tasmania Government LIST Telstra Payphones layer
02928161X7,0292819715,408 SUSSEX ST,HAYMARKET,NSW,2000,-33.878253,151.204804,,,Tasmania Government LIST Telstra Payphones layer
02928162X7,0292818604,841 GEORGE ST,HAYMARKET,NSW,2000,-33.883665,151.202951,,,Tasmania Government LIST Telstra Payphones layer
02928163X2,0428495176,73 DIXON ST,HAYMARKET,NSW,2000,-33.879136,151.204117,,,Tasmania Government LIST Telstra Payphones layer
02928165X2,0292813684,1 EDDY AVE,HAYMARKET,NSW,2000,-33.882401,151.205966,,,Tasmania Government LIST Telstra Payphones layer
02928169X2,0292813796,70 DIXON ST,HAYMARKET,NSW,2000,-33.87847,151.20407,,,Tasmania Government LIST Telstra Payphones layer
02928170X2,0292814009,1 EDDY AVE,HAYMARKET,NSW,2000,-33.882564,151.205985,,,Tasmania Government LIST Telstra Payphones layer
02928184X2,0429481799,615 GEORGE ST,HAYMARKET,NSW,2000,-33.877923,151.20566,,,Tasmania Government LIST Telstra Payphones layer
02928191X2,0292817753,1 EDDY AVE,HAYMARKET,NSW,2000,-33.885271,151.206451,,,Tasmania Government LIST Telstra Payphones layer
02925116X2,0292516391,114 KENT ST,MILLERS POINT,NSW,2000,-33.861211,151.2038,,,Tasmania Government LIST Telstra Payphones layer
02925117X2,0292516500,87 LOWER FORT ST,MILLERS POINT,NSW,2000,-33.8581,151.20554,,,Tasmania Government LIST Telstra Payphones layer
02925131X2,0292518166,ARGYLE ST,MILLERS POINT,NSW,2000,-33.858333,151.203808,,,Tasmania Government LIST Telstra Payphones layer
02921211X2,0292125070,1 LIVERPOOL ST,SYDNEY,NSW,2000,-33.876593,151.209754,,,Tasmania Government LIST Telstra Payphones layer
02922306X2,0292231427,1 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.86632,151.20996,,,Tasmania Government LIST Telstra Payphones layer
02922308X2,0292231431,8 MACQUARIE ST,SYDNEY,NSW,2000,-33.86831,151.21237,,,Tasmania Government LIST Telstra Payphones layer
02922309X2,0292231443,16 O'CONNELL ST,SYDNEY,NSW,2000,-33.865322,151.209514,,,Tasmania Government LIST Telstra Payphones layer
02922313X2,0292232319,133 ELIZABETH ST,SYDNEY,NSW,2000,-33.870693,151.210542,,,Tasmania Government LIST Telstra Payphones layer
02922329X2,0292231282,50 ELIZABETH ST,SYDNEY,NSW,2000,-33.867745,151.210926,,,Tasmania Government LIST Telstra Payphones layer
02922332X2,0292231283,50 ELIZABETH ST,SYDNEY,NSW,2000,-33.867745,151.210926,,,Tasmania Government LIST Telstra Payphones layer
02922333X2,0292231280,50 ELIZABETH ST,SYDNEY,NSW,2000,-33.867745,151.210926,,,Tasmania Government LIST Telstra Payphones layer
02922336X2,0292234957,39 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.868153,151.209769,,,Tasmania Government LIST Telstra Payphones layer
02922341X2,0437013754,99 ELIZABETH ST,SYDNEY,NSW,2000,-33.868197,151.212126,,,Tasmania Government LIST Telstra Payphones layer
02923103X1,0292312210,420 GEORGE ST,SYDNEY,NSW,2000,-33.869595,151.207604,,,Tasmania Government LIST Telstra Payphones layer
02923104X1,0292315432,420 GEORGE ST,SYDNEY,NSW,2000,-33.869595,151.207604,,,Tasmania Government LIST Telstra Payphones layer
02923105X2,0292316863,135 PHILLIP ST,SYDNEY,NSW,2000,-33.867685,151.211264,,,Tasmania Government LIST Telstra Payphones layer
02923110X2,0292314639,213 PITT ST,SYDNEY,NSW,2000,-33.870099,151.208267,,,Tasmania Government LIST Telstra Payphones layer
02923112X2,0292310039,428 GEORGE ST,SYDNEY,NSW,2000,-33.86985,151.20701,,,Tasmania Government LIST Telstra Payphones layer
02923208X2,0292328683,100 KING ST,SYDNEY,NSW,2000,-33.86881,151.20823,,,Tasmania Government LIST Telstra Payphones layer
02923209X2,0292328727,100 KING ST,SYDNEY,NSW,2000,-33.86881,151.20823,,,Tasmania Government LIST Telstra Payphones layer
02923212X2,0292326316,181 PITT ST,SYDNEY,NSW,2000,-33.868942,151.208304,,,Tasmania Government LIST Telstra Payphones layer
02923214X2,0428088327,80 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.869877,151.209628,,,Tasmania Government LIST Telstra Payphones layer
02923215X2,0292326305,182 PITT ST,SYDNEY,NSW,2000,-33.870248,151.208239,,,Tasmania Government LIST Telstra Payphones layer
02923218X2,0292324541,150 PITT ST,SYDNEY,NSW,2000,-33.869134,151.208349,,,Tasmania Government LIST Telstra Payphones layer
02923220X2,0292328479,84 PITT ST,SYDNEY,NSW,2000,-33.866809,151.208607,,,Tasmania Government LIST Telstra Payphones layer
02923223X2,0292328948,68 PITT ST,SYDNEY,NSW,2000,-33.86579,151.20871,,,Tasmania Government LIST Telstra Payphones layer
02923225X2,0292325793,118 KING ST,SYDNEY,NSW,2000,-33.868962,151.209179,,,Tasmania Government LIST Telstra Payphones layer
02923230X2,0292323817,32 MARTIN PL,SYDNEY,NSW,2000,-33.867605,151.209508,,,Tasmania Government LIST Telstra Payphones layer
02923232X2,0292529235,121 MACQUARIE ST,SYDNEY,NSW,2000,-33.863492,151.212814,,,Tasmania Government LIST Telstra Payphones layer
02923233X2,0292324524,97 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.870235,151.209523,,,Tasmania Government LIST Telstra Payphones layer
02923235X2,0455338694,3 ELIZABETH ST,SYDNEY,NSW,2000,-33.866171,151.210785,,,Tasmania Government LIST Telstra Payphones layer
02923249X2,0292326539,5 MARTIN PL,SYDNEY,NSW,2000,-33.867626,151.209029,,,Tasmania Government LIST Telstra Payphones layer
02923304X2,0292333084,388 GEORGE ST,SYDNEY,NSW,2000,-33.868473,151.207028,,,Tasmania Government LIST Telstra Payphones layer
02923305X2,0292330798,99 ELIZABETH ST,SYDNEY,NSW,2000,-33.869171,151.210338,,,Tasmania Government LIST Telstra Payphones layer
02923306X2,0292335526,400 GEORGE ST,SYDNEY,NSW,2000,-33.869069,151.207005,,,Tasmania Government LIST Telstra Payphones layer
02923308X2,0292334317,280 GEORGE ST,SYDNEY,NSW,2000,-33.865117,151.20735,,,Tasmania Government LIST Telstra Payphones layer
02923310X2,0292332840,42 HUNTER ST,SYDNEY,NSW,2000,-33.865829,151.209115,,,Tasmania Government LIST Telstra Payphones layer
02923312X2,0429587384,37 ELIZABETH ST,SYDNEY,NSW,2000,-33.86779,151.21067,,,Tasmania Government LIST Telstra Payphones layer
02923314X2,0455989276,135 PHILLIP ST,SYDNEY,NSW,2000,-33.867851,151.212205,,,Tasmania Government LIST Telstra Payphones layer
02923315X2,0448750345,48 MARTIN PL,SYDNEY,NSW,2000,-33.867914,151.212198,,,Tasmania Government LIST Telstra Payphones layer
02923317X2,0292331970,MARKET ST,SYDNEY,NSW,2000,-33.870698,151.208172,,,Tasmania Government LIST Telstra Payphones layer
02923325X1,0292332364,122 PITT ST,SYDNEY,NSW,2000,-33.868252,151.208425,,,Tasmania Government LIST Telstra Payphones layer
02924703X2,0292476842,10 SPRING ST,SYDNEY,NSW,2000,-33.864707,151.209036,,,Tasmania Government LIST Telstra Payphones layer
02924714X2,0292479781,CIRCULAR QY,SYDNEY,NSW,2000,-33.861076,151.212559,,,Tasmania Government LIST Telstra Payphones layer
02925103X2,0419533905,5020 ALFRED ST,SYDNEY,NSW,2000,-33.861425,151.209447,,,Tasmania Government LIST Telstra Payphones layer
02925104X2,0418725564,ALFRED ST,SYDNEY,NSW,2000,-33.861434,151.209902,,,Tasmania Government LIST Telstra Payphones layer
02925109X2,0292517732,ALFRED ST,SYDNEY,NSW,2000,-33.86152,151.210599,,,Tasmania Government LIST Telstra Payphones layer
02925110X2,0455729587,1 ALFRED ST,SYDNEY,NSW,2000,-33.861497,151.210345,,,Tasmania Government LIST Telstra Payphones layer
02925114X2,0292516045,2 MACQUARIE ST,SYDNEY,NSW,2000,-33.857228,151.214555,,,Tasmania Government LIST Telstra Payphones layer
02925120X2,0292517633,ALFRED ST,SYDNEY,NSW,2000,-33.861583,151.211393,,,Tasmania Government LIST Telstra Payphones layer
02925125X2,0292517763,ALFRED ST,SYDNEY,NSW,2000,-33.861344,151.209401,,,Tasmania Government LIST Telstra Payphones layer
02925136X2,0448672061,172 GEORGE ST,SYDNEY,NSW,2000,-33.861343,151.208265,,,Tasmania Government LIST Telstra Payphones layer
02925138X2,0292516683,1 BRIDGE ST,SYDNEY,NSW,2000,-33.863595,151.207584,,,Tasmania Government LIST Telstra Payphones layer
02925209X2,0292522053,11 GROSVENOR ST,SYDNEY,NSW,2000,-33.863364,151.20674,,,Tasmania Government LIST Telstra Payphones layer
02925211X2,0292522391,151 MACQUARIE ST,SYDNEY,NSW,2000,-33.865652,151.212506,,,Tasmania Government LIST Telstra Payphones layer
02925236X2,0292529194,30 BOND ST,SYDNEY,NSW,2000,-33.864643,151.208755,,,Tasmania Government LIST Telstra Payphones layer
02925241X2,0292529643,21 BRIDGE ST,SYDNEY,NSW,2000,-33.863617,151.209462,,,Tasmania Government LIST Telstra Payphones layer
02925244X2,0292525761,273 GEORGE ST,SYDNEY,NSW,2000,-33.864748,151.20737,,,Tasmania Government LIST Telstra Payphones layer
02925246X2,0292529724,34 GROSVENOR ST,SYDNEY,NSW,2000,-33.863329,151.207355,,,Tasmania Government LIST Telstra Payphones layer
02925250X2,0292529897,259 GEORGE ST,SYDNEY,NSW,2000,-33.86428,151.20737,,,Tasmania Government LIST Telstra Payphones layer
02925252X2,0292529075,50 BRIDGE ST,SYDNEY,NSW,2000,-33.863271,151.211836,,,Tasmania Government LIST Telstra Payphones layer
02925254X2,0292528208,CIRCULAR QY,SYDNEY,NSW,2000,-33.86128,151.212187,,,Tasmania Government LIST Telstra Payphones layer
02925260X2,0455672578,20 MARTIN PL,SYDNEY,NSW,2000,-33.86751,151.20864,,,Tasmania Government LIST Telstra Payphones layer
02926101X2,0292613896,370 PITT ST,SYDNEY,NSW,2000,-33.877314,151.207714,,,Tasmania Government LIST Telstra Payphones layer
02926106X1,0292614214,464 KENT ST,SYDNEY,NSW,2000,-33.873471,151.205793,,,Tasmania Government LIST Telstra Payphones layer
02926107X1,0292614235,464 KENT ST,SYDNEY,NSW,2000,-33.873471,151.205793,,,Tasmania Government LIST Telstra Payphones layer
02926109X2,0292612512,542 GEORGE ST,SYDNEY,NSW,2000,-33.873455,151.207005,,,Tasmania Government LIST Telstra Payphones layer
02926111X2,0292612793,40 PARK ST,SYDNEY,NSW,2000,-33.87314,151.208371,,,Tasmania Government LIST Telstra Payphones layer
02926121X2,0292614109,320 SUSSEX ST,SYDNEY,NSW,2000,-33.875139,151.204443,,,Tasmania Government LIST Telstra Payphones layer
02926126X2,0292614523,483 GEORGE ST,SYDNEY,NSW,2000,-33.873235,151.20683,,,Tasmania Government LIST Telstra Payphones layer
02926128X2,0292614528,483 GEORGE ST,SYDNEY,NSW,2000,-33.873288,151.20713,,,Tasmania Government LIST Telstra Payphones layer
02926147X2,0292615853,1 ZOLNER CCT,SYDNEY,NSW,2000,-33.877338,151.201622,,,Tasmania Government LIST Telstra Payphones layer
02926148X2,0292615942,1 ZOLNER CCT,SYDNEY,NSW,2000,-33.877463,151.201944,,,Tasmania Government LIST Telstra Payphones layer
02926400X2,0292641283,483 GEORGE ST,SYDNEY,NSW,2000,-33.873288,151.20713,,,Tasmania Government LIST Telstra Payphones layer
02926401X2,0292649541,483 GEORGE ST,SYDNEY,NSW,2000,-33.873235,151.20683,,,Tasmania Government LIST Telstra Payphones layer
02926403X1,0292645838,133 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.871492,151.209122,,,Tasmania Government LIST Telstra Payphones layer
02926403X2,0448509278,115 BATHURST ST,SYDNEY,NSW,2000,-33.874408,151.207597,,,Tasmania Government LIST Telstra Payphones layer
02926404X2,0292642891,270 PITT ST,SYDNEY,NSW,2000,-33.873741,151.208125,,,Tasmania Government LIST Telstra Payphones layer
02926414X2,0292640119,27 PARK ST,SYDNEY,NSW,2000,-33.873249,151.209012,,,Tasmania Government LIST Telstra Payphones layer
02926417X2,0292649280,265 CASTLEREAGH ST,SYDNEY,NSW,2000,-33.877271,151.208654,,,Tasmania Government LIST Telstra Payphones layer
02926419X2,0292647591,151 BATHURST ST,SYDNEY,NSW,2000,-33.874568,151.209242,,,Tasmania Government LIST Telstra Payphones layer
02926421X2,0292648369,231 ELIZABETH ST,SYDNEY,NSW,2000,-33.87515,151.209608,,,Tasmania Government LIST Telstra Payphones layer
02926422X2,0292648379,100 MARKET ST,SYDNEY,NSW,2000,-33.870663,151.209033,,,Tasmania Government LIST Telstra Payphones layer
02926705X2,0292674342,1 MARKET ST,SYDNEY,NSW,2000,-33.870911,151.204591,,,Tasmania Government LIST Telstra Payphones layer
02926711X2,0292674352,505 GEORGE ST,SYDNEY,NSW,2000,-33.875236,151.206558,,,Tasmania Government LIST Telstra Payphones layer
02926716X2,0292678998,271 ELIZABETH ST,SYDNEY,NSW,2000,-33.876082,151.209468,,,Tasmania Government LIST Telstra Payphones layer
02926718X2,0292671921,94 LIVERPOOL ST,SYDNEY,NSW,2000,-33.876416,151.206759,,,Tasmania Government LIST Telstra Payphones layer
02926720X2,0292672465,201 ELIZABETH ST,SYDNEY,NSW,2000,-33.873457,151.209824,,,Tasmania Government LIST Telstra Payphones layer
02926723X2,0292678991,66 GOULBURN ST,SYDNEY,NSW,2000,-33.878128,151.207999,,,Tasmania Government LIST Telstra Payphones layer
02926732X2,0292675405,636 GEORGE ST,SYDNEY,NSW,2000,-33.876219,151.206287,,,Tasmania Government LIST Telstra Payphones layer
02926735X2,0292672372,COLLEGE ST,SYDNEY,NSW,2000,-33.876605,151.212165,,,Tasmania Government LIST Telstra Payphones layer
02926741X2,0428046675,145 ELIZABETH (EAST SIDE) ST,SYDNEY,NSW,2000,-33.870979,151.21013,,,Tasmania Government LIST Telstra Payphones layer
02926743X2,0292678948,69 LIVERPOOL ST,SYDNEY,NSW,2000,-33.876278,151.205413,,,Tasmania Government LIST Telstra Payphones layer
02926745X2,0292675874,447 KENT ST,SYDNEY,NSW,2000,-33.872306,151.204997,,,Tasmania Government LIST Telstra Payphones layer
02926901X2,0292690093,599 GEORGE ST,SYDNEY,NSW,2000,-33.87748,151.20574,,,Tasmania Government LIST Telstra Payphones layer
02926902X2,0292690657,496 GEORGE ST,SYDNEY,NSW,2000,-33.871967,151.207041,,,Tasmania Government LIST Telstra Payphones layer
02926904X2,0292690661,580 GEORGE ST,SYDNEY,NSW,2000,-33.875067,151.206689,,,Tasmania Government LIST Telstra Payphones layer
