id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_CODE_2021,SA1_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,RA_2011,RA_2016,RA_2021,RA_2021_NAME,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,sed_code,sed_name
458,1001,SYDNEY,NSW,151.268071,-33.794883,EAST SUBS MC,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
459,1002,SYDNEY,NSW,151.268071,-33.794883,EAST SUBS MC,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
460,1003,SYDNEY,NSW,151.268071,-33.794883,EAST SUBS MC,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
461,1004,SYDNEY,NSW,151.268071,-33.794883,EAST SUBS MC,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
462,1005,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
463,1006,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
464,1007,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
465,1008,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
466,1009,SYDNEY,NSW,151.268071,-33.794883,EAST SUBS MC,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
467,1010,SYDNEY,NSW,151.268071,-33.794883,EAST SUBS MC,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
468,1020,SYDNEY,NSW,151.268071,-33.794883,NULL,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
469,1021,SYDNEY,NSW,151.268071,-33.794883,NULL,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
470,1022,SYDNEY,NSW,151.268071,-33.794883,SYDNEY GPO,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
471,1023,SYDNEY,NSW,151.268071,-33.794883,NULL,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
472,1025,SYDNEY,NSW,151.268071,-33.794883,NULL,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
473,1026,SYDNEY,NSW,151.268071,-33.794883,NULL,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
474,1027,SYDNEY,NSW,151.268071,-33.794883,NULL,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
475,1028,SYDNEY,NSW,151.268071,-33.794883,GPO BOX CENTRE,LVR,Updated 25-Mar-2020 SA3,11703,Sydney Inner City,117,Sydney - City and Inner South,R1,-33.8688197,151.2092955,,,,,,,,,1,1,,,1,1,,,N1,PHN101,,Sydney,17200,Sydney,,,
