 , SUB_ADDR_TYP_CDE, SUB_ADDR_NR, ADD_ADDR_INFO, STREET_NR, STREET_NME, STREET_TYP_CDE, LOCALITY_NAME, STATE,Indigineous Sites, POST_CDE, ABS_AREA, SITE_LAT, SITE_LONGIT, payphones_at_site, NEAREST_PAYPHONE, DRV_PRIME_PROD_CDE, tty    ,  
02422501X1,,,WOLLONGONG TAFE,1,FOLEYS,LA,NORTH WOLLONGONG,NSW,,2500,North Wollongong,-34.40672,150.88574,1,02422903X2 .614 km,MPP1W,,
02422502X1,,,WOLLONGONG HOSPITA,0,LOFTUS,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.425022,150.883561,1,02422686X2 .468 km,MPP1W,TTY,
02422600X2,,,OS RWS EAST SIDE,0,LOWDEN,SQ,WOLLONGONG,NSW,,2500,Wollongong,-34.426898,150.888401,1,02422683X2 .017 km,MPP1W,,
02422602X2,,,CNR HARBOUR ST,11,CROWN,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.426226,150.901958,1,02422621X2 .394 km,MPP1,,
02422604X2,,,CROWN ST MALL,139,CROWN,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.425351,150.895967,1,02422675X2 .132 km,MPP1W,,
02422605X2,,,NR SNR CITZN CNTR,192,GIPPS,RD,GWYNNEVILLE,NSW,,2500,Gwynneville,-34.416149,150.883458,1,02422684X2 .851 km,MPP1W,,
02422606X2,,,ADJ TO FISHER ST,501,CROWN,ST,WEST WOLLONGONG,NSW,,2500,West Wollongong,-34.425349,150.873128,1,02422619X2 .646 km,MPP1,,
02422608X1,LOT,6,BLD 20 SOUTH WALLT,0,NORTHFIELDS,AVE,KEIRAVILLE,NSW,,2500,Keiraville,-34.406241,150.878549,1,02422903X2 .212 km,MPP1W,,
02422613X2,,,CNR PRINCES HWY,1,BELLEVUE,RD,FIGTREE,NSW,,2525,Figtree,-34.435049,150.861758,1,02422638X2 .821 km,MPP1W,,
02422616X2,,,NR 100 KEIRA ST,0,SMITH,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.421502,150.893654,1,02422701X2 .394 km,MPP1W,,
02422617X2,,,NR KEMBLA ST,41,CAMPBELL,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.420269,150.898117,1,02422616X2 .431 km,MPP1W,,
02422619X2,,,NR CRANA PLACE,80,ROWLAND,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.428486,150.879066,1,02422502X1 .564 km,MPP1W,,
02422621X2,,,ADJ OLD TOWN HALL,93,CROWN,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.425661,150.897714,1,02422643X2 .161 km,MPP1W,,
02422631X2,,,O/S POST OFFICE,43,BOURKE,ST,NORTH WOLLONGONG,NSW,,2500,Wollongong,-34.414495,150.895791,1,02422684X2 .458 km,MPP1W,,
02422638X2,,,CNR THE AVENUE,101,ST JOHNS,AVE,MANGERTON,NSW,,2500,Mangerton,-34.438907,150.8694,1,02422613X2 .821 km,MPP1W,,
02422643X2,,,CNR BURELLI ST,73,KEMBLA,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.427,150.897026,1,02422675X2 .158 km,MPP1W,,
02422645X2,,,NR HARBOUR ST,84,CLIFF,RD,WOLLONGONG,NSW,,2500,Wollongong,-34.421354,150.90396,1,02422617X2 .549 km,MPP1W,,
02422650X2,,,NR BOURKE ST,20,CLIFF,RD,WOLLONGONG,NSW,,2500,Wollongong,-34.415374,150.900811,1,02422631X2 .47 km,MPP1W,,
02422656X2,,,OS POST OFFICE,225,GIPPS,RD,KEIRAVILLE,NSW,,2500,Keiraville,-34.414637,150.871869,1,02422903X2 .995 km,MPP1W,,
02422657X2,,,NR 113 KEMBLA ST,13,GLEBE,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.4314,150.89647,1,02422643X2 .491 km,MPP1W,,
02422675X2,,,CRN CHURCH ST,71,BURELLI,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.42646,150.895426,1,02422604X2 .132 km,MPP1W,,
02422678X2,,,CNR BRIDGE ST,128,GLADSTONE,AVE,CONISTON,NSW,,2500,Coniston,-34.437733,150.884819,1,02422687X2 .045 km,MPP1W,,
02422683X2,PLTFM,2,RAILWAY STATION,0,LOWDEN,SQ,WOLLONGONG,NSW,,2500,Wollongong,-34.426863,150.888322,1,02422686X2 .008 km,MPP1W,,
02422684X2,PLATFM,1,RAILWAY STN-NTH,0,STAFFORD,ST,NORTH WOLLONGONG,NSW,,2500,North Wollongong,-34.412357,150.891521,1,02422631X2 .458 km,MPP1,,
02422685X2,,,OS RWS WEST SIDE,0,LOWDEN,SQ,WOLLONGONG,NSW,,2500,Wollongong,-34.427066,150.888017,1,02422683X2 .029 km,MPP1W,,
02422686X2,PLATFM,1,RAILWAY STATION,0,LOWDEN,SQ,WOLLONGONG,NSW,,2500,Wollongong,-34.426849,150.888155,1,02422683X2 .008 km,MPP1W,,
02422687X2,,,RWS PLATFORM,26,BRIDGE,ST,CONISTON,NSW,,2500,Coniston,-34.437795,150.885312,1,02422678X2 .045 km,MPP1W,,
02422701X2,,,WEND CROWN ST MALL,203,CROWN,ST,WOLLONGONG,NSW,,2500,Wollongong,-34.425026,150.893545,1,02422604X2 .225 km,MPP1,,
02422903X2,,,OS WOLLONGONG UNI,0,NORTHFIELDS,AVE,KEIRAVILLE,NSW,,2500,Keiraville,-34.408066,150.879241,1,02422608X1 .212 km,MPP1W,,
02422905X2,,,CNR POORAKA AVE,43,YELLALONG,ST,WEST WOLLONGONG,NSW,,2500,West Wollongong,-34.424615,150.863893,1,02422606X2 .85 km,MPP1,,
02423301X2,,,CNR TERRALONG ST,47,SHOALHAVEN,ST,KIAMA,NSW,,2533,Kiama,-34.670528,150.85449,1,02423316X2 .214 km,MPP1,,
02423302X2,,,OS RAILWAY STATION,0,PRINCES,HWY,BOMBO,NSW,,2533,Bombo,-34.65872,150.853772,1,02423314X2 1.14 km,MPP1,,
02423303X1,LOT,199,EAST BEACH CARAVAN,0,OCEAN,ST,KIAMA,NSW,,2533,Kiama,-34.69014,150.8516,1,02423305X2 .929 km,MPP1,,
02423304X2,,,OS EXCHANGE,20,MANNING,ST,KIAMA,NSW,,2533,Kiama,-34.672374,150.856241,1,02423316X2 .141 km,MPP1,,
02423305X2,,,CNR 178 MANNING ST,0,BONAIRA,ST,KIAMA,NSW,,2533,Kiama,-34.682045,150.849068,1,02423303X1 .929 km,MPP1W,,
02423307X2,,,OPP IGA S/MARKET,10,JOHNSON,ST,KIAMA DOWNS,NSW,,2533,Kiama Downs,-34.636714,150.853749,1,02423700X1 1.116 km,MPP1W,,
02423314X2,,,CNR TERRALONG ST,0,COLLINS,ST,KIAMA,NSW,,2533,Kiama,-34.669054,150.852961,1,02423301X2 .225 km,MPP1W,,
02423316X2,,,KIAMA RLWY STN,0,RAILWAY,PDE,KIAMA,NSW,,2533,Kiama,-34.672446,150.854693,1,02423304X2 .141 km,MPP1,,
02423400X2,LOT,1,O/S SURF CLUB,0,PACIFIC,AVE,GERRINGONG,NSW,,2534,Gerringong,-34.74287,150.83231,1,02423403X2 .523 km,MPP1W,,
02423403X2,,,NEAR SHOPS,100,FERN,ST,GERRINGONG,NSW,,2534,Gerringong,-34.74556,150.82761,1,02423400X2 .523 km,MPP1,,
02423407X2,,,OS POST OFFICE,22,STAFFORD,ST,GERROA,NSW,,2534,Gerroa,-34.7703,150.81464,1,02423410X2 2.852 km,MPP1,,
02423410X2,,,OS RAILWAY STATION,18,BELINDA,ST,GERRINGONG,NSW,,2534,Gerringong,-34.74478,150.81778,1,02423403X2 .902 km,MPP1,,
02423600X2,,,OS POST OFFICE,32,ALLOWRIE,ST,JAMBEROO,NSW,,2533,Jamberoo,-34.648543,150.777031,1,02423700X1 6.26 km,MPP1W,,
02423700X1,,,GAINSBOROUGH SHOPS,41,MEEHAN,DRV,KIAMA DOWNS,NSW,,2533,Kiama Downs,-34.6439,150.84523,1,02423307X2 1.116 km,MPP1,,
02423702X1,,,OS RAILWAY STATION,15,NORTH,ST,MINNAMURRA,NSW,,2533,Minnamurra,-34.626217,150.853034,1,02423307X2 1.169 km,MPP1W,,
02425701X1,,,ALBION PARK RWS,209,PRINCES,HWY,ALBION PARK RAIL,NSW,,2527,Albion Park Rail,-34.562917,150.798657,1,02425711X2 .337 km,MPP1,,
02425701X2,,,CNR ASH ST,25,PINE,ST,ALBION PARK RAIL,NSW,,2527,Albion Park Rail,-34.57119,150.80103,1,02425701X1 .945 km,MPP1W,,
02425702X2,,,CNR FISHER ST,63,CENTRAL,AVE,OAK FLATS,NSW,,2529,Oak Flats,-34.564141,150.819095,1,02425714X2 .873 km,MPP1,,
02425707X2,,,NR CALDERWOOD RD,222,TONGARRA,RD,ALBION PARK,NSW,,2527,Albion Park,-34.571476,150.76484,1,02425709X2 1.022 km,MPP1,,
02425709X2,,,OS POST OFFICE,133,TONGARRA,RD,ALBION PARK,NSW,,2527,Albion Park,-34.57071,150.77597,1,02425715X2 .979 km,MPP1W,,
02425711X2,,,CNR CREAMERY RD,179,PRINCES,HWY,ALBION PARK RAIL,NSW,,2527,Albion Park Rail,-34.560871,150.795942,1,02425701X1 .337 km,MPP1,,
02425714X2,LOT,107,OAK FLATS RWS,0,STANDFORD,DRV,OAK FLATS,NSW,,2529,Oak Flats,-34.571927,150.820346,1,02425702X2 .873 km,MPP1,,
02425715X2,,,NR WILEY ST,158,TERRY,ST,ALBION PARK,NSW,,2527,Albion Park,-34.57945,150.77731,1,02425709X2 .979 km,MPP1W,,
02426201X2,,,O/S POST OFFICE,42,BROWNSVILLE,AVE,BROWNSVILLE,NSW,,2530,Brownsville,-34.485395,150.806202,1,02426205X2 1.025 km,MPP1W,,
02426202X2,,,OS SHOPS,56,LAKESIDE,DRV,KANAHOOKA,NSW,,2530,Kanahooka,-34.500367,150.817051,1,02426201X2 1.939 km,MPP1,,
02426203X2,,,CNR HOMESTEAD DR,84,BONG BONG,RD,HORSLEY,NSW,,2530,Horsley,-34.490992,150.778249,1,02426218X2 1.269 km,MPP1,,
02426205X2,,,CNR WEROWI ST,9,PRINCES,HWY,DAPTO,NSW,,2530,Dapto,-34.490851,150.797181,1,02426217X2 .401 km,MPP1,,
02426210X2,,,CNR AVONDALE RD,276,PRINCES,HWY,DAPTO,NSW,,2530,Dapto,-34.50478,150.78718,1,02426216X2 1.29 km,MPP1,,
02426216X2,,,CNR BONG BONG DVE,1,MARSHALL,ST,DAPTO,NSW,,2530,Dapto,-34.494074,150.79262,1,02426220X1 .132 km,MPP1,,
02426217X2,,,DAPTO MALL,55,PRINCES,HWY,DAPTO,NSW,,2530,Dapto,-34.493803,150.794652,1,02426220X1 .105 km,MPP1W,,
02426218X2,,,DAPTO RLWY STN,1,STATION,ST,DAPTO,NSW,,2530,Dapto,-34.492986,150.791886,1,02426216X2 .138 km,MPP1,,
02426220X1,SHOP,CNTR,DAPTO MALL SC,75,PRINCES,HWY,DAPTO,NSW,,2530,Dapto,-34.494551,150.793945,1,02426217X2 .105 km,MPP1W,,
02426220X2,,,KEMBLA GRANGE RWS,0,WEST DAPTO,RD,KEMBLA GRANGE,NSW,,2526,Kembla Grange,-34.470189,150.817589,1,02427223X2 1.976 km,MPP1,,
02426802X2,,,OS BARBER SHOP,372,LAWRENCE HARGRAVE,DRV,THIRROUL,NSW,,2515,Thirroul,-34.317421,150.917575,1,02426818X2 .156 km,MPP1W,,
02426803X2,,,CRN AUSTIMER ST,0,THE GROVE,,AUSTINMER,NSW,,2515,Austinmer,-34.306187,150.934343,1,02426819X2 .428 km,MPP1W,,
02426804X2,,,LAWRENCE HARGRAVE,2,YOUNG,ST,COLEDALE,NSW,,2515,Coledale,-34.290216,150.945182,1,02426820X2 1.813 km,MPP1W,,
02426810X2,,,OS POST OFFICE,529,LAWRENCE HARGRAVE,DRV,WOMBARRA,NSW,,2515,Wombarra,-34.27619,150.95548,1,02426820X2 .178 km,MPP1,,
02426811X2,,,OPP POST OFFICE,273,LAWRENCE HARGRAVE,DRV,THIRROUL,NSW,,2515,Thirroul,-34.314855,150.923535,1,02426818X2 .544 km,MPP1W,,
02426818X2,PLTFRM,,RAILWAY STATION,0,RAILWAY,PDE,THIRROUL,NSW,,2515,Thirroul,-34.31809,150.91908,1,02426802X2 .156 km,MPP1W,,
02426819X2,,,RAILWAY STATION,1,GILCHRIST,ST,AUSTINMER,NSW,,2515,Austinmer,-34.30606,150.92968,1,02426803X2 .428 km,MPP1W,,
02426820X2,,,RAILWAY STATION,119,MORRISON,AVE,WOMBARRA,NSW,,2515,Wombarra,-34.27551,150.95372,1,02426810X2 .178 km,MPP1,,
02426822X2,,,SCARBOROUGH RWS,1,RAILWAY,AVE,SCARBOROUGH,NSW,,2515,Scarborough (NSW),-34.26515,150.96572,1,02426810X2 1.546 km,MPP1W,,
02427202X1,PLATFM,2,UNANDERRA RLWY STN,0,BERKELEY,RD,UNANDERRA,NSW,,2526,Unanderra,-34.45488,150.84587,1,02427216X2 .171 km,MPP1W,,
02427208X2,,,NR PRINCES HWY,1,FARMBOROUGH,RD,UNANDERRA,NSW,,2526,Unanderra,-34.459216,150.840136,1,02427223X2 .597 km,MPP1,,
02427213X2,,,NR MT KEMBLA HOTEL,282,CORDEAUX,RD,MT KEMBLA,NSW,,2526,Mount Kembla,-34.432373,150.821163,1,02427223X2 3.111 km,MPP1,,
02427215X2,,,CNR CAMBRIDGE ST,50,GALLOP,ST,BERKELEY,NSW,,2506,Berkeley,-34.475572,150.843711,1,02427221X2 .697 km,MPP1,,
02427216X2,,,O/S POST OFFICE,31,CENTRAL,RD,UNANDERRA,NSW,,2526,Unanderra,-34.453664,150.844718,1,02427202X1 .171 km,MPP1W,,
02427221X2,,,NR POLICE STATION,7,DEVON,ST,BERKELEY,NSW,,2506,Berkeley,-34.481631,150.845671,1,02427215X2 .697 km,MPP1W,,
02427223X2,,,CNR MIANGA CRES,31,WAPLES,RD,UNANDERRA,NSW,,2526,Unanderra,-34.458373,150.833701,1,02427208X2 .597 km,MPP1,,
02427403X2,,,NEAR KING ST,194,COWPER,ST,WARRAWONG,NSW,,2502,Warrawong,-34.485287,150.888292,1,02427608X2 .083 km,MPP1W,,
02427405X2,,,CNR GRIFFIN ST,240,NORTHCLIFF,DRV,WARRAWONG,NSW,,2502,Warrawong,-34.49165,150.87412,1,02427615X2 1.233 km,MPP1W,,
02427520X1,,,RAILWAY STATION,103,OLD PORT,RD,PORT KEMBLA,NSW,,2505,Port Kembla,-34.47722,150.90276,1,02427625X2 .475 km,MPP1W,,
02427604X2,,,NR SHELLHARBOUR RD,2,NORTHCLIFFE,DRV,PORT KEMBLA,NSW,,2505,Port Kembla,-34.488534,150.893632,1,02427403X2 .608 km,MPP1W,,
02427608X2,,,CNR KING ST,240,COWPER,ST,WARRAWONG,NSW,,2502,Warrawong,-34.485473,150.887412,1,02427403X2 .083 km,MPP1W,,
02427610X2,,,CNR CHURCH ST,156,WENTWORTH,ST,PORT KEMBLA,NSW,,2505,Port Kembla,-34.484285,150.904992,1,02427625X2 .448 km,MPP1W,,
02427611X2,,,NR SHOPS,9,WERINGA,AVE,LAKE HEIGHTS,NSW,,2502,Lake Heights,-34.480616,150.872366,1,02427405X2 1.237 km,MPP1W,,
02427615X2,,,ADJ PRIMBEE SHOPS,43,ILLOWRA,CRS,PRIMBEE,NSW,,2502,Primbee,-34.50082,150.88169,1,02427405X2 1.233 km,MPP1W,,
02427624X2,,,CNR LAKE AVE,38,BIRMINGHAM,ST,CRINGILA,NSW,,2502,Cringila,-34.467609,150.872521,1,02427611X2 1.446 km,MPP1W,,
02427625X2,,,NR WENTWORTH ST,0,ALLAN,ST,PORT KEMBLA,NSW,,2505,Port Kembla,-34.48139,150.90159,1,02427610X2 .448 km,MPP1W,,
02428300X1,,,WOLLONGONG SURF LE,201,PIONEER,RD,FAIRY MEADOW,NSW,,2519,Fairy Meadow,-34.39037,150.90566,1,02428545X2 .727 km,MPP1W,,
02428300X2,,,,39,PRINCES,HWY,FAIRY MEADOW,NSW,,2519,Fairy Meadow,-34.393399,150.892901,1,02428537X2 .162 km,MPP1W,,
