cabinet_id,phone,cli,fnn,address_info,street_number,street_name,street_type,locality,state,postcode,latitude,longitude,tty,indigenous_site,product_code,payphones_at_site,locator_address,attributes
02625763X2,0262575594,0436316897,PH:0262575594,CNR WAKEFIELD GDN,2,EDGAR,ST,AINSLIE,ACT,2602,-35.26267,149.14488,,,MPP1W,1,"2 EDGAR ST CNR WAKEFIELD GDN, AINSLIE","Card Payphone,Incoming Calls,WIFI Hotspot"
02629400X2,0262940631,0429278604,PH:0262940631,BELLCHAMBERS CRES,125,POCKET,AVE,BANKS,ACT,2906,-35.47407,149.09361,,,MPP1W,1,"125 POCKET AVE BELLCHAMBERS CRES, BANKS BANKS","Card Payphone,Incoming Calls"
02625310X2,0262534391,0448907060,PH:0262534391,OS CARPARK,62,EMU BANK,PTH,BELCONNEN,ACT,2617,-35.238782,149.071372,,,MPP1W,1,"62 EMU BANK PTH OS CARPARK, BELCONNEN","Card Payphone,Incoming Calls,WIFI Hotspot"
02625315X2,0262531397,0448451664,PH:0262531397,CNR HOWIE CCT,0,CONDELL,ST,BELCONNEN,ACT,2617,-35.244149,149.069295,,,MPP1W,1,"0 CONDELL ST CNR HOWIE CCT, BELCONNEN","Card Payphone,Incoming Calls,WIFI Hotspot"
02624710X2,0262476564,0448792447,PH:0262476564,O/S BEAUREPARIES,7,ELOUERA,ST,BRADDON,ACT,2612,-35.273455,149.132294,,,MPP1W,1,"7 ELOUERA ST O/S BEAUREPARIES, BRADDON","Card Payphone,Incoming Calls,WIFI Hotspot"
02625744X2,0262574430,0439401763,PH:0262574430,ADJ SHOP,94,LOWANNA,ST,BRADDON,ACT,2612,-35.264154,149.132893,,,MPP1W,1,"94 LOWANNA ST ADJ SHOP, BRADDON","Card Payphone,Incoming Calls,WIFI Hotspot"
02625104X1,0262513143,0262513143,,CALVARY PYSTRC WRD,10,HAYDON,DRV,BRUCE,ACT,2617,-35.252932,149.090141,TTY,,MPP1,1,"10 HAYDON DRV CALVARY PYSTRC WRD, BRUCE BRUCE","Card Payphone,TTY"
02625113X1,0262519654,0455866974,PH:0262519654,AQUATIC CENTRE,100,EASTERN VALLEY,WAY,BRUCE,ACT,2617,-35.241861,149.074521,,,MPP1W,1,"100 EASTERN VALLEY WAY AQUATIC CENTRE, BRUCE BRUCE","Card Payphone,Incoming Calls"
02625332X1,0262534963,0262534963,PH:0262534963,CANBERRA UNI LIBR,11,KIRINARI,ST,BRUCE,ACT,2617,-35.238034,149.083565,,,MPP1,1,"BLDG 8 11 KIRINARI ST CANBERRA UNI LIBR, BRUCE BRUCE","Card Payphone,Incoming Calls"
02629204X2,0262928488,0455991962,PH:0262928488,CALWELL S/C,9,WEBBER,CRS,CALWELL,ACT,2905,-35.434654,149.11389,,,MPP1W,1,"9 WEBBER CRS CALWELL S/C, CALWELL","Card Payphone,Incoming Calls"
